n,a_num,a_den,b_n,lcm_1_n,d_n,d_n_a_n,d_n_b_n,gcd,d_over_den_a,gcd_num_a_b,log_gcd_over_n
138,33736658412005268381350007076564666041132566854524706029074129888922332707878826248105783648467220461412737570894127056017015381314408187305227920118468011656613317146402925815720851107261981601047521385341481852180727381286267830668107562601665054892653577807406336988534370973793262558353604528879877083462640042749267392801801449645138474711116897780207828296725477491513736647,10583406117390145558377195729671126127763188826074987555477174075170612326530426090428477293739305298447805111846957827885694629581694066021228276786020091294955356160000000,2651866001160797355782135281836727644851074317465607370563668716005795827868535622136970294303627565403701893973062419913043169481212938978811345807925209195968303039203487873159825679970463205398205504083625,239659860565130545615559086972088925228945148132416695184000,13765307166583492820503299625796750198075191546634432564031386460870656922501798694515798992102027436426137718723745698839528719965430386970510558201737031742783683989504000000000,43879584763574652320202886704133832886399073079337558896715267040026832036502595359598787502378890293136477121583446355408531055706585008818544694302085419361174110946468965462217324992660296369402458689844398371038863068469984253958474101297855653646129875975203052204137229607064206946522615730487612128605682771601834634447663055480949357133014193097827311874135992299337341569920550,36503750070597832932435798418469751748439074996273531289995021495097706933176026758138335515166845536831249683239576865802390894454186712174181409383890157864760868674749580075655124319942008223722967221444914067125363068981094171128666503464533640915807410192543819787434902902468117650243234462678719240948641755176113917423118160932341397477469089596672725827456603638272000000000000,1300650,1300650,1,0.10201720795270591
139,4477609326236820943794362084182573781270198430747672436753563633974918788351763222886061559005528639720404298860167650283849595109145684713551214816876161495255605910594893171004695154914098117742889476873188911007527107530538450761152631199317850576831874778134290881996415819771782945102724405749560815592543339756295395592531469073189827133235839297999557953463460608376934387644377593,41798524343498831359328538262240647176643010899845120593754489356743565743771053509632995236963028465164846936284286815836104890297881817490978034520286017005098100963328000000000,89116931005051371766438749760099798946740449637414545845211941686504192747286665363697114313458022026257816772276786653327118440687901873296712457993031821776320052251120906727953619584053044534901935886747365,33312720618553145840562713089120360606823375590405920630576000,36968370467412793405107251037732642470204497846280818148181408075656992773552358108166825573370054821787327554021147199971716281384839190425355594807190805452022974612207742976000000000,3960185747715546389171373190458603920254176840487332905307195327560045123007410168375794057369967761171593818892484396952348503597523027679422663535067586025186858602778368505949734592202534767452756654704676946829319290038524488468095355443187078399874336992522648496254674000470595251532543778869953066864300216500737412268649717570030157089373372180401325035477130027394112603676968607108106,3294507720313604641230535009676905918921539591091432584287921684558631325690400482864341775509279805209182963399521414598499054785144815102879532775889719038516715902381449140777760947845757622568788418205606760159922798496848071490074659716224216917754457677390036243882805647665375989844370490247481432599592231611922661901976725219883865375435249175450560837221940682171476565258240000000000,884442,884442,1,0.098508720983175771
140,511643362375375601649745821936636404618571185898151902378449466003534497788919391685035383158722519899532570863263782488400114556613899049346988017412064138681429533348491708774620636698013876051801394407299304696203179730594936338034240506628821477890719646781075720242915222121512803827664855945347335273783628667025065961433500966897383996323558352668427858132352292607731362692589203313,142114982767896026621717030091618200400586237059473410018765263812928123528821581932752183805674296781560479583366575173842756627012798179469325317368972457817333543275315200000000,2995038784807214299780800826262736293581677071339158696085152806246618571218238163070952780649549152412127973295296105909858934853295006441744551913163138352087275685403702990251592150732035941848040804270368225,33312720618553145840562713089120360606823375590405920630576000,36968370467412793405107251037732642470204497846280818148181408075656992773552358108166825573370054821787327554021147199971716281384839190425355594807190805452022974612207742976000000000,133093787854706455257148380660377227933428922587686254365706059591499428909831601359028254221078489101465407658660807738707521799611973559706631992969400244395200264509943148203542066224254349577355096727170768130623333143319660789612846982989355331043712901717161227106789536730469125659690458977063202324769335325153230408547696606519016498963647234279638138735968801876049159377223229457810690,110721703361022921666965495116311832097345875336408722377591082765109836215279418686452960223839820039497749040408194462984039543698348236180077428204879560896228080744507656988277578006353090867368642716880109253008224918579961841916991295034387011975777405691764271657908163200368753595428879324965607000938659147583366719587817051026686200191731914626385739914317289515063503677337600000000000,260130,260130,1,0.089063834178852261
141,181016879125683968680084699311571007568915915564112229415270526863025290006900339740037442774001362726284279615740711963017626521835184661259323411891540076001395985151202745922853235973954895996058239594220655229768431832475837689123595355520063049354725751629972086723493709903770321972698404796121717894940557436666955868661134639426586837261893321560152032112027508408728088528612128859,1495947187030484490754916106227560004216697232204983263355423829609769721356016651923707197954466281911162942982806054461502701336976822941782371761778657450708774139740160000000,100664834702575997778415631444943572787740152953362837230611698361310978367585004875235514323564305770859622903017535427145356495409936187081654779814764683894986995757967564075513357795450179475668254620498299125,33312720618553145840562713089120360606823375590405920630576000,36968370467412793405107251037732642470204497846280818148181408075656992773552358108166825573370054821787327554021147199971716281384839190425355594807190805452022974612207742976000000000,4473352472861596223411291119032301788895699225990788852590460604523483025502023610774714298936092576168891317362049983279278642776873725663671840917857900397173098073651325178206622166020964274068189837236238809267367906395284267516813481683986230097721256928292940697341329781940438516202013423763438535221034284570016646860907990606633613227808949425057023070763662997424431578550047942608708650,3721414902325701024986072955939669332229408766512542442365867988692838748066557123525060003012805592013551355866435289996094461471323319429675273299595271012361375348394321919443109779517110425016668618373994500020371630208495913774929174441057244444901463716832212702052551603165505482995935453879031584484119054208780756887287722684128995159310310286061371439409427972644881763165696000000000000,24712350,24712350,1,0.12072917501163019
142,578030361278872316600384736373309354331803172508485549899345276565669954360520011800727617236204856213947156513657448173471742299364129265904633250837917685436383496652368162216722087852821868174390641569263975291094886043468597448863178766137244398576244899203289108779574480620741808980460121584704966170875268640649109016469025763643948294541827939145266911272010847550752480095996942830449,142114982767896026621717030091618200400586237059473410018765263812928123528821581932752183805674296781560479583366575173842756627012798179469325317368972457817333543275315200000000,3383652516840838447252328702785526231565676187787010810083757839631152024448107306411839257681530753522385498249783953745460041328973493049026855264275434749917471419920573232125411961666069099763585780675499475425,33312720618553145840562713089120360606823375590405920630576000,36968370467412793405107251037732642470204497846280818148181408075656992773552358108166825573370054821787327554021147199971716281384839190425355594807190805452022974612207742976000000000,150363037879473055717258081472788962342331959264632346095316686793027725227802070669723275071653969246934073823897711993365204324333590945939772247540467527512566438984180530037435916713154552568204237591412637892472512706487486254372778692435281385401638585629751595866830709643873566770087091427829302850029783631492052728454087671896700269859165701809858281629188181773377242647371684738484698370,125088119775565821637047575502486917659137637292476434984546654238856963806777477276351363710888903270909376919011209404723730062819749146210388380367948231580200557778858321403994078189222140661444308533385825995606629961547096495509003059743377176156135144076499152616125032761193061717031633800961311937847736687448767931307376280638632041047164146514680448755494921962904461411228364800000000000,260130,260130,1,0.087809413979150111
143,36424004469533749758195812764893920849003163366139177817594740512961907167174322358512646586032135505794438584379560872313438426746765895939218974023985135654018043861699037889241813366381877691064971770299215396628836042159755474786797220328135405660327181839306351402737153904634864249071150181878951048918166247815980288233357995168568678240110543221285937632084312595120078762196505217871,266401553854743813422108347684360000750918685187188800323568627190780909282578307876824569498740570751302989846253132986295001607954776688262614149357843107660466627624960000000,113743322509446354572967613680111896745369279706869863943536834829717766638584170429811110541492768279725263683431616839503992639816706604526545564672751208487116831696592867001533653848130216167085502983411782982125,33312720618553145840562713089120360606823375590405920630576000,36968370467412793405107251037732642470204497846280818148181408075656992773552358108166825573370054821787327554021147199971716281384839190425355594807190805452022974612207742976000000000,5054535424634293257007490110106032215167617128262945715282040704402390432349122050381266933523398523251015475969271815536368846744671317981653056532975301684369908834959465383515458433674125018968586940332771426100175768827081863395105238846742136955469923811172346835029423068196142099181841614491723815740192133401362504210955737306845415909739284010964755729344879204021626501778813601355567053850,4204905284723625436322992920862623203699009178326488156451559765256298200506291891872245146656638457832392332970435450448504533900442268108028591446584617789266919748777653195378736165286406247112536293248775343147273217750789636311900795695636504346897181427957641567729592158208132948228266743319382767464539163178526279252487584896883489161653836700056197322847652331973367240672802304000000000000,138769350,138769350,1,0.13110715916312388
144,8491922901503978684196860666302197014147580778161831203405003014773886168926450165864491856352386754767528851873574779043793467376311630861051774430389119397894060507755274228266230207610313259919549236056707807587695798235398698385384817904871409212863351289868716527644887673772022467072811386555818844874073356235590319964353366082588653015784423898640799102332522485940381097112503038982405069,1847494775982648346082321391191036605207621081773154330243948429568065605874680565125778389473765858160286234583765477259955836151166376333101229125796641951625336062579097600000000,3823823136598932641749212615158674972357040333482380644211096349921609850424707056527893973335026115005465770100157402668741228273413385696103035207102011366601028069538352998261173919704742920836308296700297906418225,33312720618553145840562713089120360606823375590405920630576000,36968370467412793405107251037732642470204497846280818148181408075656992773552358108166825573370054821787327554021147199971716281384839190425355594807190805452022974612207742976000000000,169923377259094613470779181932706962253093091371018242380134110325625462240218267818948482045611258962898252325990231328666307282199995733529646006352086279151860150760183037307607266454282368330990180213494723229829792922690327954691550206276476898349395659310273017718174202352178169566126955844981935085930207858274162302486710855312598946845846322211802390037673774943667025753221185810037925430690,141360510315653737270048445386795422405760060853882677911872445545547022190527183431126196074753129016591230433886398426501197997400002257043313982871727027111839346106355380801291742890752664286576438499312522153898616100427186516838829881129143541827165676654968155655498870815061447156742562187194487664253800855522264890734280681230770833915768377433177465044895441257081896269591562137600000000000,20010,20010,1,0.068777690469290123
145,41397796590481085073402896614978804559515535004263099422392212367777838380671461696617910294817789259467971891266480343280886993185145996998830552219679650623313241129621614536056276336840613021055773364742572876427245519464039249420545181537854402998868227301003855247952752426293541541433207934929427515544002860162995563469538953862398547482316940805560352379263822857481656324745941457175674527569,267886742517484010181936601722700307755105056857107377885372522287369512851828681943237866473696049433241504014645994202693596241919124568299678223240513082985673729073969152000000000,128558553770050678424855784768423447800150506148626160911494085657768969796215417913664623706644008934399446712995720287570502277987043431134220910161179947998502967839530026244830708615214475782743148731971141201774005,33312720618553145840562713089120360606823375590405920630576000,36968370467412793405107251037732642470204497846280818148181408075656992773552358108166825573370054821787327554021147199971716281384839190425355594807190805452022974612207742976000000000,5712895929486389740129599732867075029213143830588307720290125306753341696532661714133271620684854917806580120994774287372762405059550147585838616206315791786017227275887782805975766134484004596905696724334475056946959881686037416420035235052223907613843815367538532024217479834828508732717782695020260997145072394702493387758796375633010999552559737831167328628338407554332468572814939921090243084804522,4752600242526041132541155517237895729037531739084413555839147519529166254026565622917717328554350491657157658905494737108937413280857879317080494093627798861550717147794999521631152245936336238406059422720238636442136886907913897531532665416265503600815684245260769775286391668926811225012827187251764715515312620301948809755901853902359112291640436890629095028714667351373542695933808278138880000000000,138,138,1,0.033981059897635897
146,8980066965557427491803645623909072233207310655611373921739109854575351952636218895547686841170564696455041278959909844107393739612205575813716185050139726372250049922200936475463454805885592437460339933617950117360516058097232371050466619897827208562762511479286668292772668230383082798520333329410060903617714298516565667441689248385720153308968222562158800914810017312286857240326808520659232922751,1728301564628929097947978075630324566161968108755531470228209821208835566785991496407986235314168060859622606546103188404474814463994352053546311117680729567649507929509478400000000,4322500232486707281521009316600416272813473268304483680035195010150849569925335138307241909147354541795357569359354629981076698035617254789191376698469149526116330582432237006367083656012195717926721696568133085563571225,33312720618553145840562713089120360606823375590405920630576000,36968370467412793405107251037732642470204497846280818148181408075656992773552358108166825573370054821787327554021147199971716281384839190425355594807190805452022974612207742976000000000,192083632393273374049679979895415055068304374923527288185999559789366778266888722175765021532638378857173332956952471565457152090305077266655389198222488747102428567835878031210163298297892822237276671180087953010341438482699800416769480999614523991157490120541941834782407373447894141060349929916081202728382908845269339626577733022970554079278830280604576751567786270309815876370590434256900992217643890,159795789940046523025800207811353820487067185668837985156998713057242662212193052299020383230961431334871948544276427619627460887922330914482509920408486355523604885844972644512611509068930688999611078655846343483797090362177110436295003904286259607397853215714355685787826518601465398205934857894430210675737224845599827481621520343977042411470011154957064409318928761694337504187778623469465600000000000,21390,21390,1,0.068292320562167469
147,6686174788610228091250116638076151564253794656657009428102804760351047334432280287921922065088005481046079829370565330481747472040174534151530205342797807102624509877565233155848059142607779261531659801890005951792777278669592540186178489432548452236821187304504847123036732694589613298608806174745287874388744548131081254649664522130715443267856768977251017350348756866821652019529222558932150475770791,38269534645354858597419514531814329679300722408158196840767503183909930407404097420462552353385149919034500573520856314670513748845589224042811174748644726140810532724852736000000000,145344806320587156600532231916264652585048238738421281130713104482909652697870258244582185717341674074052118461405014928758570530456016333704295416071526623977693302123278603687341862723158787168918324235054036068348037365,33312720618553145840562713089120360606823375590405920630576000,36968370467412793405107251037732642470204497846280818148181408075656992773552358108166825573370054821787327554021147199971716281384839190425355594807190805452022974612207742976000000000,6458844845797480336147612672381562411069165638330671107547309398499111725061582758132576714875013294690513115171966109245368057990808599990378178361142681661135276541728015228549225131759114766639583368625745749431822851194826393819848420791841804860769266936151682320853483782973566446456106764803948086659527233494624491991575928378271118196749638832024482760436899133349715850865228991928457359594584106,5373160645573826551686348954134167829334474838317240079315786871012564751720630521711210906518457993968071074016928997195248350262715777117041389558702131560586335066794799210931964676621755446377412596795109417214127281139228145088421000919678006616255810684942829870624822759050624680053963113374095300864620157381429713743066481793035279411867764122386476403093684372969064593072338065964298240000000000,966,966,1,0.046756216559268829
148,55999829053396445816683670860930957550378992223391670607043859014058366444651513125765477281870396884326940223378798979024627829025281839008950745780333659655350746170633993218091131423723500978874487097544076659757962505472022837228939340157651989900114094277690710943832742047059475928706432659768336322368707496249674421770372006718307451500155607250293651693353290432962555932568218947413955374349,9531640011296353324388422050265088338555597112866300583005604778059758507448094002605866090506886654803113467875680277626528953635265062028097428330920230670189422845542400000000,4887581842953358759868887547498267532645076774142464467263809579466464116496391839822714331009635159988921999570845052264900682525397281116663808906492397519110596025295604927084969551432528162840866572242927549495862586025,33312720618553145840562713089120360606823375590405920630576000,36968370467412793405107251037732642470204497846280818148181408075656992773552358108166825573370054821787327554021147199971716281384839190425355594807190805452022974612207742976000000000,217194776985307581135549450597412109549569417548502360532713536747435233671916447143150145982961515611893194386972438052157228788596265359777825378001566295636681315515342236356434272315597361311554909462953725884104659997848185853964068941408051666307693513515080645488545851702099706794728612006584894742943808337129399748092170124336888267568838521164191425156153803411340943558906511505355551779858853010,180685936260099941588485817646411837536172096687094670984889633720754152633221756526992552850274245106530978299682609280121332275043404604892578102930076354101252711473487708412151564713207741674844049898138216826870642284305519840793661683344274618244583469265586735618608871866528651608325483738081106604927148731370087390489597232489854552004375005578705650079316671361832010903898790607889510400000000000,3878490,3878490,1,0.10250646257157689
149,1471317123065120552220840565093685522232131804400384463771782376132631057146743477807984846903912459498892089515104153534071558200035638897342558631719774880294696869576293127557430000052118631938040186486935941498988743214576303720455883012836117931279563781042660710821622767344325799495275088833277569558800868524480072238529274029565379632210520703322741064793361629301287046032109253167700388829958488684899,7446686403562762302498546216235334120489008552314382298895295375865392375367175097524804682048709017030603361039867242662235957940001060475481951923447327834868709465684934305792000000000,164368350666211014626462016313332787065932312370640394157713800668106826738688646768815405745326402795559110296268709270006691890228126050945581913725669014965022803850015599078236235881434300713065176507591356136047860259005,4963595372164418730243844250278933730416682962970482173955824000,122289484119307682531631125963016656926670498446106786112458540662461473588279749451552342488603899477676568394996699858999238901290697415128364614486852017704213946845477991169716224000000000,24161969794975409708570643759968503646096068491863113664060210180850067220463821392562727155856050409890805894017040409336523128760985261972159497850102143084199511992181885740748115460855892173686495942488462031296393141069772059697326510836794728667472996412282574193112689085328518279311407508820084247294627862909011746301127738113522664320161170989966053766036584676385735869939298155519975785365578301183411378,20100520808512408213318615935870048634347318417158627408572518815741968083063603785286130980382414772724278960302365483705700043631952962045769584751177674010385308445891692209396551563666656915583938748475162365150736919843361671508880142844340370101226289549191481895277471840034096480136877587917158693128736037934878545650202058240449250269956180392729589088305991558968438568672953811560185392990597120000000000,16422,16422,1,0.065143470995092184
150,168243616236784421670193172560796789647513137147747114060063585657721968627393283901925847523934730998432299957160185405711009646817576609570143435316417959426407532286317755902664851731486569915729033401897856612904120170695199218623690387884056812272509238703620236099003474287843833830621388025997161691923112447539473213723568247044216422229901051291924488941122343835121483031161361693562294709847182818459179,25318733772113391828495057135200136009662629077868899816244004277942334076248395331584335918965610657904051427535548625051602256996003605616638636539720914638553612183328776639692800000000,5528045201501293597777915769006671415465158952064967948593786412174139782574321442145298453763298822893025679849912910949670449357178505796073765126771233180399582878400500692255009675363581886932927342549877280751561502080825,4963595372164418730243844250278933730416682962970482173955824000,122289484119307682531631125963016656926670498446106786112458540662461473588279749451552342488603899477676568394996699858999238901290697415128364614486852017704213946845477991169716224000000000,812616666423668756667033023468648493997488452423618560910107118726797108470309561246301843540604750722428008793083695509584176594128895024223792792578298744029548380942914761009871233863080132692971231331166647440326900424457812225952424573479994403276219622938485740358186780810285717401901304165566290971988633121615655622284834633223565319370422077739995281585620920723636763040509376979905883448561893013157834570,676021795879807481325988019988196534777486520287179627093264362395676898468771536910197444677584611128128373286683853862426871560140051075746880427239421031411124482215424153111087113365162946847655496198437435648973090381230934076483409511086631413970045260605852447448326279619622116195337828997582304757835744953515476146986994128827135427159327869671744658169579101046749786342876830231140859500761804800000000000,4830,4830,1,0.056550678310977459
151,3896562675335878082602870340939045983557412153179332170920390354767910396039067663876365319319742529150451268106822610489681685511162504284892099973183154822139231881823709033918112690054627570709544983757392788534783939572410351477615688907348609959493094304645660992336991699821668359916283441365417921113926486628672492104494355312311914872340496723159635751427575854207802245672899364504240816855547705474208466819669,17434231951886314901861777091738888694920791689255561298247422154549167410030697791054724187307713636048282353296988934834007808465329521992282322062613732555144559524040798972081393090560000000,185931862457754931835986243481779590900397783561906438673364106672328148453893965970366082681941003195670302293668183514623664186018395065430649734468696743563995022001474938320075723011621277880647695750777551313195681623389125,749502901196827228266820481792118993292919127408542808267329424000,421036701638054504879961916765494161982337119295521805352675245032362392952241351653971589123481284310566018832122282776241288574437707956113618077812121641206741112505585295175765643137024000000000,94101988609361455694859318733677960502911503499280871927727427067645036064343484082614222461571782078983398124779766043325812705094574478480144214352373188954662449946042573169122421464819255832635511357741035843115032140673709988184418887112468930521758227457192712964938349550693290891978245108974842794901324652082440684323538680792332744167022995864305203396975956879118424233000519652777415727061477087202134473695006350,78284138098633550808595523099219498612181344493165254976925537376739348667827400404856438503099739423962438262056098972540523749958250096211581755567578030190468121371332619868926370817956293400935524320419383688946031591235736727925573623554630671841885330397370019508420236487818896703809876169284659951327751790567816186909631752360373805983694230740967083081624638785308909452887916578146219414473473595646464000000000000,24150,24150,1,0.066834699729011376
152,655333501730066721830658994485860685138562856622691915877527113961830869050782331901171274345707945464454021674118705260187111435679833179612973353159948204025819322882831640800337677347322619237173277277383244973470067393994774024182846042666136851190685048954094966024220838224701508568749807982615352050502817589861002231972873657237752263165992687911975763379438738868843709833475698674783284091013702324666807985853717,87171159759431574509308885458694443474603958446277806491237110772745837050153488955273620936538568180241411766484944674170039042326647609961411610313068662775722797620203994860406965452800000000,6254095656096721251972255528654342162263868633735828530657531705105814484201757346040509432043332739038349393698845667041519146666175859619444684383312735462565516431584095726280372926679417041949711273889399299215032713949700225,749502901196827228266820481792118993292919127408542808267329424000,421036701638054504879961916765494161982337119295521805352675245032362392952241351653971589123481284310566018832122282776241288574437707956113618077812121641206741112505585295175765643137024000000000,3165260813356222266442082943366707109219258597487601953688455960435643097515278663082657255089769376593312924685993346406703748234333594257530661295762549825444707329524076825065630981587568250915546929249761073221860425512994758536803146386077440991251008786448278685896986648625308286387061572556032150403928608959028640780428979764458343431091744682614842937122689108736515118495687624599203262159596182228140682571673453110,2633203806771847960169702266940673343846149250909399519425885703986558667079789339498936136310390722438759601969471392327226855520053234120924902709853188458992222009868280958940464871418293019885807311139023423276147068888560201229044123297541585543525178100988578877843059536483740626643960512952767109504293067353931736637915418961134509759561430037265431091753030667185212125470361003760673227236147300613398630400000000000,4830,4830,1,0.055806590438464601
153,107534371794524246028056201678304572752391731387227808164437233318336293262218086749087447774568670901812847569257761974891337018192012227030359751592991849744124906911797303280505870838688368441345330614974297502071388058733939479016988698738159535381687794594638758037962072859558212187430336020941502261125904865161016970047739387125516509809924887514888262640143189398819748711169440141683078580217360687708951088422701,425225169558202802484433587603387529144409553396477104835302979379247985610504824172066443592871064293860545202365583776439214840617793219323959074697895915979135598147336560294668124160000000,210379448598126618775253865177300429007534092062243334819813213021975713833306795345181057205481676968102250306678875889327721142394679873750954316033404773115250642976968528440570178517213579592696926077748344152507122965626057125,749502901196827228266820481792118993292919127408542808267329424000,421036701638054504879961916765494161982337119295521805352675245032362392952241351653971589123481284310566018832122282776241288574437707956113618077812121641206741112505585295175765643137024000000000,106475158232348182204679848091773272710780672833063614254017526570150680773585238594608936413989169493429991020700573019438657348562820906594110708039800880024145276578716099843192888010927288012198079108416800671675984886355410175148671360055588663958178169817881566271288146441891563797384147211135228463853814702239180952892769154162330172188297127372866613253137778983241374186364421156287500256202219684935017920201737395150,88577469130187861261614625740066298306005223850123373972346891002230386111574911814266367749069693459030846106099161676087278292023994177637897484683218866704638260537201584507453025111897291877683252197776168467030956255480439686331717109748244193400751362624830641503948320234815241942046103513850791520370420580304047196854614819022813139229866939836862500265461048112005279944459006403441590516443720372301226496000000000000,990150,990150,1,0.090232756377679912
154,741596521737836067892354813543753271930940082330423747704236976529203530126846162724393525091175374941826715579689610753377423828340547129456522508665573611399244035692056410697174935751695266269721815775675395209873516070136422195369785422294929173412532710224693787525786386837695695426831424459608232688676929796841493253026991799050904345962172513501057804081156866799365578825089607313753712987836120270328957532519749229,87171159759431574509308885458694443474603958446277806491237110772745837050153488955273620936538568180241411766484944674170039042326647609961411610313068662775722797620203994860406965452800000000,7077336307288997499199832555997489093836032092300816593146100159679908190970112201633739141516950799605668296387010991146810250155442559617000025380854181065427252096650312825621106637618223781623390012021933331062331262430604680825,749502901196827228266820481792118993292919127408542808267329424000,421036701638054504879961916765494161982337119295521805352675245032362392952241351653971589123481284310566018832122282776241288574437707956113618077812121641206741112505585295175765643137024000000000,3581911199993748207920073749416328303426440597655946701411464596636053050512666965958820726190377060969023036249900819938812957090884842635275003716854720543058348692392632463667354939680688136082756370196512158863689082618758919203636063589684507907582532990385270993749548248426070208911595780139907763886309570918744412412120370389415867990997293240210109193711987666640935745725182803325430433731248460905688864882070388776070,2979818335204208074076606945694820761482685124509103726340463826447767771147431085340461990853892624903367477576330746029125760944598378711023536023098376847221331616291836336290374930833788509502934255506809770393177190553125698305924213003619665303780922791210036696743089299204621635318889399370116684287038373676462167427608764206651505004739305433343361680854222403059036457604918119461182158890321882307071260364800000000000,4830,4830,1,0.055081829523679342
155,4989896873760860007060563524194769136694083917215529280900119113760654395394237985119256791362644172697118907077357538840634468480119752204106361001329103989425978661229057548855626720942467970822222953620826227130235094878311351945099655501454108207491022255191427503761372158608311070045273362208885841860357526423129080363658870118325682460305762540980681290007693008008887132685023634424775034539489100076630093563266420677,17434231951886314901861777091738888694920791689255561298247422154549167410030697791054724187307713636048282353296988934834007808465329521992282322062613732555144559524040798972081393090560000000,238102372915254642650688972187358981667592965435576713116969731645993430310388980826894578551974658932933640468487091928200242706206407949288780413442405235469032660192617742586411969390305723843382577364133778193368399999516493891125,749502901196827228266820481792118993292919127408542808267329424000,421036701638054504879961916765494161982337119295521805352675245032362392952241351653971589123481284310566018832122282776241288574437707956113618077812121641206741112505585295175765643137024000000000,120506009501324769170512609109303674651162126600755032133737876597319803648770847340630051511407856770635421605918184563001322413794892015729168618182097861344637384668681739804863385310760601495356684329942953385195177541311219149474156680360116713210908187462872974215837137630390712341593351697344593080927634263118567290782361713357565231416384165364683453153685786143414624254343320771358317084128661766850616759552884059349550,100249837744432858977766835733948934346882313465965780998141391066180404592840812413005003469351929713374134707763036780936786281723384565121573738198355618982627384750309660596129261685078354909126728414496022366446248358524058298235485032775071569800569912663445773427032474946904608405225860317376820575862131659004678104349945958088067949024310263309812123737113187957658310291352245870777837274458886287905677312512000000000000,24150,24150,1,0.065109933284391727
156,11687102371723209611985335004057497776046898493753663168644763625906701234626839575630841743902942726990389994780796107070389363911185113973674741316742954755612968868525761780661799844982938400066328213288442336621121510546116520003079092970204822658041187195020663315131601572972343438660253685752377126469392851935990473110105794566127108886725329592237975195364289230227080663868351109673705904669494300442627848027803237,1213660421293861113947913476626445436472035620553815614218407389805023836410072940553757339875232414622226408165470862153429015556235956978230582809788634358172263106442102260499922944000000,8010961267713532904532213017507489881996204360304406716015590935797241923641483337165118037288791484399485871368509368668542900155309016283000155397396989545193996718300884981817229423466588591584195619916611206410865263373219432110625,749502901196827228266820481792118993292919127408542808267329424000,421036701638054504879961916765494161982337119295521805352675245032362392952241351653971589123481284310566018832122282776241288574437707956113618077812121641206741112505585295175765643137024000000000,4054428197510764331739489496598855826602865779235928619734606012090516782135261394670079555875653400398189397441881186285297358583907806017898879465212552963304784191782397516697843127772294829324410235530906651098332213550728376007738182767985363501208693945463794658803050776787307280936962242329364472734847803881161150981374074195459344447661096034158839105406003557231920131735723058124676265491941447864479129241603353013045750,3372908709108313632462701200880922747717189075547014671887217333653354940852521989300624386712355789711609344984463503343094746665753228948004143021513363621040002576766992836088032973975403535228528778243340479747198602480602810286722474348327769405178212330650718068336678928232646268804857845697536561321919196619482507709972877018616410644309360464573880156785662984135356998048926037251150348783477572845869722401280000000000000,346914750,346914750,1,0.1260550617339366
157,129351751281424656420126458988841484141866449154234523809554199173886174213278777840009899570554673166933364229531247495226447187103518114614879904168773896686443845742719043788029889260880675598242908183538354133895582540713497809573001325233358124993391749925430055363998387772867823803075289674114392959114164822670058210562154288106470950881726546980012553586527517903491745137845794089179451861540660665552290848666463824395493937,399222557343083945766334781863199308806231404217208709344133794461152314295301344181764140528951537551170387816849375147879189230327334081960233208129316244491278372131176447671390405629624320000000,269545579446720455313304991007622862047637011241926119750218686540910173653183650574719593856709663994326047660548626205054520729681153667863508057806797503829615648970092302796321194806749132604096946351950605742117165779769985405627125,117671955487901874837890815641362681946988303003141220897970719568000,1629366984412195662053430461957368498996312541601904765881680462024023997949128141076243074947836357784469262316298197259796728965196464955408397803998584854454478984097576994703629232016467218432000000000,527929770092442521480283123394108191302406632255635073750124030798340337125365339937324403612283315329863486098197356964642460227084943657083440096879225343241217589822046369364275788534895345352888693314884261644374735802541034285100768958741166183441779418558153956459854819936794092678681333511446777703680596599004442077677848403763345215381134642516874235580374085195416034018346931705872555855098975407351842255204872129696549179774950,439188667944740815538563004905451597591815393770524932004215912573415097327246092569356223556583436447818822357263987507499561277381535770808350504566891730880920362367781228972498542352655162269313877288029200951064263428376758433284891558420683204983698538713367756077350210373082463508827751099466714517164120244457186831062923303782603866183655929704219093187666323255401783997435163941062425812358341007100398509913989319168000000000000,4081350,4081350,1,0.096955021490470014
158,870514933542910620900029512586156268673543399912804494004085758115661156158633407794926669808951791259756354599490231848942301142389823940638635208632629036044530754201528810922763153661246802481185801241461207688919532336737405555910043388950204523143949558736237299058673345729776647510247153135756199863466285307371168232454114474295870073481140860770139056931162952005641130501769272248707354521848829366868943529362252210504265833,79844511468616789153266956372639861761246280843441741868826758892230462859060268836352828105790307510234077563369875029575837846065466816392046641625863248898255674426235289534278081125924864000000,9069975854766133950200179927720549841746239473235422052250116584325882659206669090830433783210033329813530981669475095062474043664968467432690465492509470594717870799706133686925235716028855196785766545182301700740523361408151563795970625,117671955487901874837890815641362681946988303003141220897970719568000,1629366984412195662053430461957368498996312541601904765881680462024023997949128141076243074947836357784469262316298197259796728965196464955408397803998584854454478984097576994703629232016467218432000000000,17764380620076791313051677255967544435753831776170623108017877044426768298440192294519119819123826966290032989223147288783403303837463539700627469043763902581301727968302048062298096985976648186532938349484188500005858666512716050828067277927459586152667792657740710502565582297971119601579736092253092831563790617696196587327633000548337246622011271260521035200030009570841117139866980096461308806888738598682352813367813140296707926787572750,14778319207171722402041628803733141242450828849990899050958032143001346557643474559079788342829302244890876020372363921019419835174632611092603438585102923181930666839470226965099649650263685197439284377458649944750739483710675436165651295752277109798046585583202978223886802713500754720980316352400819579519936772115985486256114305739060350752206730468955642528620384843776033984283070671323943067750460619465976469700631363330560000000000000,20406750,20406750,1,0.10652769801542969
